id,name,continent,subregion,driving_side,area,population,gdp_per_capita,Armed Forces size,Capital/Major City,GDP,Latitude,Longitude,hemisphere,pop_density,is_landlocked,timezone_count,unesco_sites,population_cat,area_cat,GDP_cat,gdp_per_capita_cat,armed_forces_cat,pop_density_cat,timezone_cat,unesco_cat,latitude_cat,longitude_cat,olympics_hosted_count,olympics_latest_year
MNE,Montenegro,Europe,Southern Europe,Right,13810,616177,12017,12000,Podgorica,5494736901,42.708678,19.37439,North,44.62,False,1,4,512.5K-2.6M,2.8K-28.8K km²,Small ($5B-$25B),$7.2K-$13.9K,10K-50K,44-72 /km²,1,3-5,Temperate (40° to 55°),Europe/Africa (0° to 30°),0,0
MLT,Malta,Europe,Southern Europe,Left,320,553214,37882,2000,Valletta,14786156563,35.937496,14.375416,North,1728.79,False,1,3,512.5K-2.6M,0-2.8K km²,Small ($5B-$25B),$32.6K-$128.3K,1-10K,302-19.0K /km²,1,3-5,Subtropical (25° to 40°),Europe/Africa (0° to 30°),0,0
MDV,Maldives,Asia,Southern Asia,Left,300,521021,12667,5000,Mal�,5729248472,3.202778,73.22068,North,1736.74,False,1,0,512.5K-2.6M,0-2.8K km²,Small ($5B-$25B),$7.2K-$13.9K,1-10K,302-19.0K /km²,1,0,Equatorial (-10° to 10°),Central Asia (60° to 100°),0,0
CPV,Cape Verde,Africa,Western Africa,Right,4033,491233,-1,-1,Praia,-1,16.5388,-23.0418,North,121.8,False,1,1,882-512.5K,2.8K-28.8K km²,Unknown,Unknown,Unknown,103-161 /km²,1,1-2,Tropical (10° to 25°),Atlantic (-50° to 0°),0,0
BRN,Brunei,Asia,South-Eastern Asia,Left,5765,455500,-1,-1,Bandar Seri Begawan,-1,4.5,114.666667,North,79.01,False,1,0,882-512.5K,2.8K-28.8K km²,Unknown,Unknown,Unknown,72-103 /km²,1,0,Equatorial (-10° to 10°),East Asia (100° to 140°),0,0
BLZ,Belize,Americas,Latin America And The Caribbean,Right,22970,410825,7988,2000,Belmopan,1879613600,17.189877,-88.49765,North,17.89,False,1,1,882-512.5K,2.8K-28.8K km²,Micro (<$5B),$7.2K-$13.9K,1-10K,2-19 /km²,1,1-2,Tropical (10° to 25°),Americas (-100° to -50°),0,0
BHS,Bahamas,Americas,Caribbean,Left,13943,398165,-1,-1,Nassau,-1,25.0343,-77.3963,North,28.56,False,1,0,882-512.5K,2.8K-28.8K km²,Unknown,Unknown,Unknown,19-44 /km²,1,0,Subtropical (25° to 40°),Americas (-100° to -50°),0,0
ISL,Iceland,Europe,Northern Europe,Right,103000,393600,78811,0,Reykjav��,24188035739,64.963051,-19.020835,North,3.82,False,1,3,882-512.5K,88.2K-206.5K km²,Small ($5B-$25B),$32.6K-$128.3K,No Standing Army,2-19 /km²,1,3-5,Northern (55°+),Atlantic (-50° to 0°),0,0
VUT,Vanuatu,Oceania,Melanesia,Right,12190,334506,3367,0,Port Vila,917058851,-15.376706,166.959158,South,27.44,False,1,1,882-512.5K,2.8K-28.8K km²,Micro (<$5B),$1.6K-$3.8K,No Standing Army,19-44 /km²,1,1-2,Southern (-30° to -10°),Pacific (140°+),0,0
BRB,Barbados,Americas,Latin America And The Caribbean,Left,430,281995,22673,1000,Bridgetown,5209000000,13.193887,-59.543198,North,655.8,False,1,1,882-512.5K,0-2.8K km²,Small ($5B-$25B),$13.9K-$32.6K,1-10K,302-19.0K /km²,1,1-2,Tropical (10° to 25°),Americas (-100° to -50°),0,0
WSM,Samoa,Oceania,Polynesia,Left,2840,225681,4139,0,Apia,850655017,-13.759029,-172.104629,South,79.47,False,1,0,882-512.5K,2.8K-28.8K km²,Micro (<$5B),$3.8K-$7.2K,No Standing Army,72-103 /km²,1,0,Southern (-30° to -10°),Far West (< -100°),0,0
STP,São Tomé and Príncipe,Africa,Middle Africa,Right,964,209607,-1,-1,São Tomé,-1,1.0,7.0,North,217.43,False,1,0,882-512.5K,0-2.8K km²,Unknown,Unknown,Unknown,161-302 /km²,1,0,Equatorial (-10° to 10°),Europe/Africa (0° to 30°),0,0
LCA,Saint Lucia,Americas,Caribbean,Left,616,184100,-1,-1,Castries,-1,13.883333,-60.966667,North,298.86,False,1,1,882-512.5K,0-2.8K km²,Unknown,Unknown,Unknown,161-302 /km²,1,1-2,Tropical (10° to 25°),Americas (-100° to -50°),0,0
KIR,Kiribati,Oceania,Micronesia,Left,810,133515,2090,0,South Tarawa,194647202,1.8368976,-157.3768317,North,164.83,False,3,1,882-512.5K,0-2.8K km²,Micro (<$5B),$1.6K-$3.8K,No Standing Army,161-302 /km²,3-5,1-2,Equatorial (-10° to 10°),Far West (< -100°),0,0
GRD,Grenada,Americas,Latin America And The Caribbean,Left,340,126183,10464,0,"St. George's, Grenada",1228170370,12.1165,-61.679,North,371.13,False,1,0,882-512.5K,0-2.8K km²,Micro (<$5B),$7.2K-$13.9K,No Standing Army,302-19.0K /km²,1,0,Tropical (10° to 25°),Americas (-100° to -50°),0,0
SYC,Seychelles,Africa,Sub-Saharan Africa,Left,460,119773,17879,0,"Victoria, Seychelles",1698843063,-4.679574,55.491977,South,260.38,False,1,2,882-512.5K,0-2.8K km²,Micro (<$5B),$13.9K-$32.6K,No Standing Army,161-302 /km²,1,1-2,Equatorial (-10° to 10°),Middle East (30° to 60°),0,0
VCT,Saint Vincent and the Grenadines,Americas,Caribbean,Left,389,110872,-1,-1,Kingstown,-1,13.25,-61.2,North,285.02,False,1,0,882-512.5K,0-2.8K km²,Unknown,Unknown,Unknown,161-302 /km²,1,0,Tropical (10° to 25°),Americas (-100° to -50°),0,0
FSM,Micronesia,Oceania,Micronesia,Right,702,105564,-1,-1,Palikir,-1,6.916667,158.25,North,150.38,False,2,1,882-512.5K,0-2.8K km²,Unknown,Unknown,Unknown,103-161 /km²,2,1-2,Equatorial (-10° to 10°),Pacific (140°+),0,0
